Name,category,sub_category,unit_amount,unit,Unit price,Currency,Short code,Description,URL / image
13kg Afrigas Outright,Afrigas,LP Gas,1,unit,6684,KES,13afrio,,
13kg Afrigas Refill,Afrigas,LP Gas,1,unit,2522,KES,13afrir,,
6kg Afrigas Outright,Afrigas,LP Gas,1,unit,4008,KES,6afrio,,
6kg Afrigas Refill,Afrigas,LP Gas,1,unit,1164,KES,6afrir,,
13kg EDA Outright,EDA,LP Gas,1,unit,6320,KES,13edao,,
13kg EDA Refill,EDA,LP Gas,1,unit,2080,KES,13edar,,
6kg EDA Outright,EDA,LP Gas,1,unit,2640,KES,6edao,,
6kg EDA Refill,EDA,LP Gas,1,unit,960,KES,6edar,,
13kg K-Gas Outright,K-Gas,LP Gas,1,unit,8684,KES,13kgaso,,
13kg K-Gas Refill,K-Gas,LP Gas,1,unit,2600,KES,13kgasr,,
6kg K-Gas Outright,K-Gas,LP Gas,1,unit,5008,KES,6kgaso,,
6kg K-Gas Refill,K-Gas,LP Gas,1,unit,1200,KES,6kgasr,,
13kg Oil Libya Outright,Oil Libya,LP Gas,1,unit,6658,KES,13oillo,,
13kg Oil Libya Refill,Oil Libya,LP Gas,1,unit,2405,KES,13oillr,,
6kg Oil Libya Outright,Oil Libya,LP Gas,1,unit,3096,KES,6oillo,,
6kg Oil Libya Refill,Oil Libya,LP Gas,1,unit,1110,KES,6oillr,,
13kg Total Outright,Total,LP Gas,1,unit,9210,KES,13toto,,
13kg Total Refill,Total,LP Gas,1,unit,2470,KES,13totr,,
6kg Total Outright,Total,LP Gas,1,unit,5020,KES,6toto,,
6kg Total Refill,Total,LP Gas,1,unit,1140,KES,6totr,,
